Tag Code,SRR Name,Mark Site Code Value,Release Site Name,Release Date MMDDYYYY,Obs Date MMDDYYYY,First Obs Date,Last Obs Date,Number of Records
384.3B23A2D2EC,Wild Summer Steelhead,TUCR,TUCR - Tucannon River,4/22/2013,10/14/2015,10/14/2015,10/14/2015,12
384.3B23A2D445,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,4/28/2015,4/28/2015,4/28/2015,15
384.3B23A2D602,Hat. Spring Chinook,CLWH,REDP - Red River Rearing Pond,3/27/2013,4/26/2015,4/26/2015,4/26/2015,19
384.3B23A2D67B,Hat. Summer Chinook,CLWH,CROOKR - Crooked River,3/20/2013,7/6/2015,7/6/2015,7/12/2015,76
384.3B23A2D67B,Hat. Summer Chinook,CLWH,CROOKR - Crooked River,3/20/2013,7/7/2015,7/6/2015,7/12/2015,76
384.3B23A2D67B,Hat. Summer Chinook,CLWH,CROOKR - Crooked River,3/20/2013,7/12/2015,7/6/2015,7/12/2015,76
384.3B23A2DB0D,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/11/2015,5/11/2015,5/12/2015,16
384.3B23A2DB0D,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/12/2015,5/11/2015,5/12/2015,16
384.3B23A2DF10,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/9/2015,5/9/2015,5/9/2015,20
384.3B23A2E399,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/22/2015,5/22/2015,5/22/2015,18
384.3B23A2E44F,Hat. Steelhead (unknown run),LGR,LGRCOL - LGR - Release into the Collection Channel upstream of the Dewatering Facility,5/21/2014,11/7/2015,11/7/2015,11/7/2015,13
384.3B23A2E49F,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/14/2015,5/14/2015,5/14/2015,17
384.3B23A2E4B5,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,6/9/2015,6/9/2015,6/9/2015,14
384.3B23A2E593,Wild Summer Steelhead,BIGBEC,"BIGBEC - Big Bear Creek, Potlatch River",5/12/2013,9/29/2015,9/29/2015,9/29/2015,9
384.3B23A2E625,Hat. Spring Chinook,CLWH,REDP - Red River Rearing Pond,3/27/2013,4/27/2015,4/27/2015,4/27/2015,16
384.3B23A2E7E9,Hat. Spring Chinook,CLWH,REDP - Red River Rearing Pond,3/27/2013,5/11/2015,5/11/2015,5/11/2015,22
384.3B23A2E897,Hat. Spring Chinook,SAWT,SAWT - Sawtooth Hatchery,4/4/2014,5/31/2015,5/31/2015,5/31/2015,16
384.3B23A2E9C7,Hat. Summer Chinook,CLWH,CROOKR - Crooked River,3/20/2013,6/30/2015,6/30/2015,6/30/2015,11
384.3B23A2EB46,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/4/2015,5/4/2015,5/4/2015,19
384.3B23A2F28A,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/12/2015,5/12/2015,5/12/2015,22
384.3B23A2F2A4,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/25/2013,7/5/2015,7/5/2015,7/5/2015,11
384.3B23A2F3F0,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/25/2013,5/24/2015,5/24/2015,5/24/2015,16
384.3B23A2F43C,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/25/2013,6/13/2015,6/13/2015,6/13/2015,17
384.3B23A2F446,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/5/2015,5/5/2015,5/5/2015,15
384.3B23A2FA8C,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/12/2015,5/12/2015,5/12/2015,18
384.3B23A2FBED,Wild Summer Steelhead,BIGBEC,"BIGBEC - Big Bear Creek, Potlatch River",5/2/2013,9/27/2015,9/27/2015,9/28/2015,12
384.3B23A2FBED,Wild Summer Steelhead,BIGBEC,"BIGBEC - Big Bear Creek, Potlatch River",5/2/2013,9/28/2015,9/27/2015,9/28/2015,12
384.3B23A2FD84,Hat. Summer Chinook,CLWH,CROOKR - Crooked River,3/20/2013,7/9/2015,7/9/2015,7/12/2015,72
384.3B23A2FD84,Hat. Summer Chinook,CLWH,CROOKR - Crooked River,3/20/2013,7/12/2015,7/9/2015,7/12/2015,72
384.3B23A2FE21,Wild Summer Steelhead,POTREF,POTREF - East Fork Potlatch River,4/26/2013,9/22/2015,9/22/2015,9/22/2015,14
384.3B23A2FE63,Hat. Summer Chinook,CLWH,CROOKR - Crooked River,3/20/2013,6/8/2015,6/8/2015,6/8/2015,25
384.3B23A2FEB0,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,6/7/2015,6/7/2015,6/8/2015,16
384.3B23A2FEB0,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,6/8/2015,6/7/2015,6/8/2015,16
384.3B23A2FFB1,Wild Summer Steelhead,BIGBEC,"BIGBEC - Big Bear Creek, Potlatch River",5/4/2013,11/7/2015,11/7/2015,11/7/2015,12
384.3B23A300C9,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,6/22/2015,6/22/2015,6/22/2015,15
384.3B23A3013B,Wild Summer Steelhead,BIGBEC,"BIGBEC - Big Bear Creek, Potlatch River",4/30/2013,9/17/2015,9/17/2015,9/17/2015,12
384.3B23A3035E,Hat. Summer Chinook,CLWH,CROOKR - Crooked River,3/20/2013,6/23/2015,6/23/2015,6/23/2015,14
384.3B23A30406,Hat. Summer Chinook,CLWH,CROOKR - Crooked River,3/20/2013,6/27/2015,6/27/2015,6/27/2015,25
384.3B23A30444,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/26/2013,6/19/2015,6/19/2015,6/19/2015,114
384.3B23A304BD,Hat. Spring Chinook,CLWH,REDP - Red River Rearing Pond,3/27/2013,5/15/2015,5/15/2015,5/15/2015,12
384.3B23A30888,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,4/27/2015,4/27/2015,4/28/2015,15
384.3B23A30888,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,4/28/2015,4/27/2015,4/28/2015,15
384.3B23A30991,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/7/2015,5/7/2015,5/7/2015,14
384.3B23A309EB,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/6/2015,5/6/2015,5/7/2015,14
384.3B23A309EB,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/7/2015,5/6/2015,5/7/2015,14
384.3B23A30CF8,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/10/2015,5/10/2015,5/10/2015,13
384.3B23A30E9A,Hat. Summer Chinook,MCCA,"KNOXB - Knox Bridge, SF Salmon River",3/25/2013,6/27/2015,6/27/2015,6/27/2015,8
384.3B23A30FAD,Hat. Spring Chinook,CLWH,POWP - Powell Rearing Pond,3/20/2013,5/17/2015,5/17/2015,5/17/2015,21
